Gier do rozegrania: 240
GameView between algorytm_4 (Ala Makota) and algorytm_12 (Adam Czajka) winner: algorytm_12, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_15 (Adam Czajka) winner: algorytm_4, end game reason: NORMAL
GameView between algorytm_4 (Ala Makota) and algorytm_3 (Kamil Wysoki) winner: algorytm_3, end game reason: NORMAL
GameView between algorytm_4 (Ala Makota) and algorytm_14 (Adam Czajka) winner: algorytm_4, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_2 (Anna Glowinska) winner: algorytm_2, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_5 (Kot Maale) winner: algorytm_5, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_13 (Adam Czajka) winner: algorytm_4, end game reason: NORMAL
GameView between algorytm_4 (Ala Makota) and algorytm_10 (Adam Czajka) winner: algorytm_4, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_16 (Adam Czajka) winner: algorytm_16, end game reason: NORMAL
GameView between algorytm_4 (Ala Makota) and algorytm_7 (Adam Czajka) winner: algorytm_4, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_11 (Adam Czajka) winner: algorytm_4, end game reason: NORMAL
GameView between algorytm_4 (Ala Makota) and algorytm_6 (Kot Dama) winner: algorytm_6, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_1 (Adam Czajka) winner: algorytm_1, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_1 (Adam Czajka) winner: algorytm_4, end game reason: TIME_EXCEEDED
GameView between algorytm_4 (Ala Makota) and algorytm_8 (Adam Czajka) winner: algorytm_8, end game reason: TIME_EXCEEDED
GameView between algorytm_12 (Adam Czajka) and algorytm_4 (Ala Makota) winner: algorytm_12, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_15 (Adam Czajka) winner: algorytm_15, end game reason: TIME_EXCEEDED
GameView between algorytm_12 (Adam Czajka) and algorytm_3 (Kamil Wysoki) winner: algorytm_3, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_14 (Adam Czajka) winner: algorytm_12, end game reason: TIME_EXCEEDED
GameView between algorytm_12 (Adam Czajka) and algorytm_2 (Anna Glowinska) winner: algorytm_2, end game reason: TIME_EXCEEDED
GameView between algorytm_12 (Adam Czajka) and algorytm_5 (Kot Maale) winner: algorytm_12, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_13 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_10 (Adam Czajka) winner: algorytm_10, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_16 (Adam Czajka) winner: algorytm_12, end game reason: TIME_EXCEEDED
GameView between algorytm_12 (Adam Czajka) and algorytm_7 (Adam Czajka) winner: algorytm_12, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_11 (Adam Czajka) winner: algorytm_12, end game reason: TIME_EXCEEDED
GameView between algorytm_12 (Adam Czajka) and algorytm_6 (Kot Dama) winner: algorytm_6, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_12, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_1, end game reason: NORMAL
GameView between algorytm_12 (Adam Czajka) and algorytm_8 (Adam Czajka) winner: algorytm_8, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_4 (Ala Makota) winner: algorytm_15, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_12 (Adam Czajka) winner: algorytm_12, end game reason: NORMAL
GameView between algorytm_15 (Adam Czajka) and algorytm_3 (Kamil Wysoki) winner: algorytm_3, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_14 (Adam Czajka) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_2 (Anna Glowinska) winner: algorytm_15, end game reason: NORMAL
GameView between algorytm_15 (Adam Czajka) and algorytm_5 (Kot Maale) winner: algorytm_15, end game reason: NORMAL
GameView between algorytm_15 (Adam Czajka) and algorytm_13 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_15 (Adam Czajka) and algorytm_10 (Adam Czajka) winner: algorytm_15, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_16 (Adam Czajka) winner: algorytm_16, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_7 (Adam Czajka) winner: algorytm_7, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_11 (Adam Czajka) winner: algorytm_11, end game reason: NORMAL
GameView between algorytm_15 (Adam Czajka) and algorytm_6 (Kot Dama) winner: algorytm_6, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_15, end game reason: NORMAL
GameView between algorytm_15 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_1, end game reason: TIME_EXCEEDED
GameView between algorytm_15 (Adam Czajka) and algorytm_8 (Adam Czajka) winner: algorytm_15, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_4 (Ala Makota) winner: algorytm_3, end game reason: NORMAL
GameView between algorytm_3 (Kamil Wysoki) and algorytm_12 (Adam Czajka) winner: algorytm_3, end game reason: NORMAL
GameView between algorytm_3 (Kamil Wysoki) and algorytm_15 (Adam Czajka) winner: algorytm_15, end game reason: NORMAL
GameView between algorytm_3 (Kamil Wysoki) and algorytm_14 (Adam Czajka) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_2 (Anna Glowinska) winner: algorytm_3, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_5 (Kot Maale) winner: algorytm_5, end game reason: NORMAL
GameView between algorytm_3 (Kamil Wysoki) and algorytm_13 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_3 (Kamil Wysoki) and algorytm_10 (Adam Czajka) winner: algorytm_3, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_16 (Adam Czajka) winner: algorytm_3, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_7 (Adam Czajka) winner: algorytm_3, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_11 (Adam Czajka) winner: algorytm_11, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_6 (Kot Dama) winner: algorytm_6, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_1 (Adam Czajka) winner: algorytm_3, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_1 (Adam Czajka) winner: algorytm_1, end game reason: TIME_EXCEEDED
GameView between algorytm_3 (Kamil Wysoki) and algorytm_8 (Adam Czajka) winner: algorytm_8, end game reason: NORMAL
GameView between algorytm_14 (Adam Czajka) and algorytm_4 (Ala Makota) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_12 (Adam Czajka) winner: algorytm_12, end game reason: NORMAL
GameView between algorytm_14 (Adam Czajka) and algorytm_15 (Adam Czajka) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_3 (Kamil Wysoki) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_2 (Anna Glowinska) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_5 (Kot Maale) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_13 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_14 (Adam Czajka) and algorytm_10 (Adam Czajka) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_16 (Adam Czajka) winner: algorytm_14, end game reason: NORMAL
GameView between algorytm_14 (Adam Czajka) and algorytm_7 (Adam Czajka) winner: algorytm_7, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_11 (Adam Czajka) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_6 (Kot Dama) winner: algorytm_6, end game reason: NORMAL
GameView between algorytm_14 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_14 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_1, end game reason: NORMAL
GameView between algorytm_14 (Adam Czajka) and algorytm_8 (Adam Czajka) winner: algorytm_14, end game reason: TIME_EXCEEDED
GameView between algorytm_2 (Anna Glowinska) and algorytm_4 (Ala Makota) winner: algorytm_2, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_12 (Adam Czajka) winner: algorytm_2, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_15 (Adam Czajka) winner: algorytm_2, end game reason: TIME_EXCEEDED
GameView between algorytm_2 (Anna Glowinska) and algorytm_3 (Kamil Wysoki) winner: algorytm_2, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_14 (Adam Czajka) winner: algorytm_2, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_5 (Kot Maale) winner: algorytm_5, end game reason: TIME_EXCEEDED
GameView between algorytm_2 (Anna Glowinska) and algorytm_13 (Adam Czajka) winner: algorytm_2, end game reason: TIME_EXCEEDED
GameView between algorytm_2 (Anna Glowinska) and algorytm_10 (Adam Czajka) winner: algorytm_10, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_16 (Adam Czajka) winner: algorytm_16, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_7 (Adam Czajka) winner: algorytm_2, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_11 (Adam Czajka) winner: algorytm_11, end game reason: TIME_EXCEEDED
GameView between algorytm_2 (Anna Glowinska) and algorytm_6 (Kot Dama) winner: algorytm_2, end game reason: TIME_EXCEEDED
GameView between algorytm_2 (Anna Glowinska) and algorytm_1 (Adam Czajka) winner: algorytm_1, end game reason: TIME_EXCEEDED
GameView between algorytm_2 (Anna Glowinska) and algorytm_1 (Adam Czajka) winner: algorytm_2, end game reason: NORMAL
GameView between algorytm_2 (Anna Glowinska) and algorytm_8 (Adam Czajka) winner: algorytm_8, end game reason: TIME_EXCEEDED
GameView between algorytm_5 (Kot Maale) and algorytm_4 (Ala Makota) winner: algorytm_4, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_12 (Adam Czajka) winner: algorytm_5, end game reason: TIME_EXCEEDED
GameView between algorytm_5 (Kot Maale) and algorytm_15 (Adam Czajka) winner: algorytm_5, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_3 (Kamil Wysoki) winner: algorytm_3, end game reason: TIME_EXCEEDED
GameView between algorytm_5 (Kot Maale) and algorytm_14 (Adam Czajka) winner: algorytm_5, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_2 (Anna Glowinska) winner: algorytm_5, end game reason: TIME_EXCEEDED
GameView between algorytm_5 (Kot Maale) and algorytm_13 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_10 (Adam Czajka) winner: algorytm_5, end game reason: TIME_EXCEEDED
GameView between algorytm_5 (Kot Maale) and algorytm_16 (Adam Czajka) winner: algorytm_16, end game reason: TIME_EXCEEDED
GameView between algorytm_5 (Kot Maale) and algorytm_7 (Adam Czajka) winner: algorytm_5, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_11 (Adam Czajka) winner: algorytm_5, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_6 (Kot Dama) winner: algorytm_5, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_1 (Adam Czajka) winner: algorytm_5, end game reason: NORMAL
GameView between algorytm_5 (Kot Maale) and algorytm_1 (Adam Czajka) winner: algorytm_5, end game reason: TIME_EXCEEDED
GameView between algorytm_5 (Kot Maale) and algorytm_8 (Adam Czajka) winner: algorytm_8, end game reason: TIME_EXCEEDED
GameView between algorytm_13 (Adam Czajka) and algorytm_4 (Ala Makota) winner: algorytm_4, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_12 (Adam Czajka) winner: algorytm_13, end game reason: TIME_EXCEEDED
GameView between algorytm_13 (Adam Czajka) and algorytm_15 (Adam Czajka) winner: algorytm_15, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_3 (Kamil Wysoki) winner: algorytm_3, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_14 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_2 (Anna Glowinska) winner: algorytm_2, end game reason: TIME_EXCEEDED
GameView between algorytm_13 (Adam Czajka) and algorytm_5 (Kot Maale) winner: algorytm_13, end game reason: TIME_EXCEEDED
GameView between algorytm_13 (Adam Czajka) and algorytm_10 (Adam Czajka) winner: algorytm_10, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_16 (Adam Czajka) winner: algorytm_16, end game reason: TIME_EXCEEDED
GameView between algorytm_13 (Adam Czajka) and algorytm_7 (Adam Czajka) winner: algorytm_13, end game reason: TIME_EXCEEDED
GameView between algorytm_13 (Adam Czajka) and algorytm_11 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_6 (Kot Dama) winner: algorytm_6, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_1 (Adam Czajka) winner: algorytm_1, end game reason: NORMAL
GameView between algorytm_13 (Adam Czajka) and algorytm_8 (Adam Czajka) winner: algorytm_13, end game reason: NORMAL
GameView between algorytm_10 (Adam Czajka) and algorytm_4 (Ala Makota) winner: algorytm_10, end game reason: NORMAL
GameView between algorytm_10 (Adam Czajka) and algorytm_12 (Adam Czajka) winner: algorytm_12, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_15 (Adam Czajka) winner: algorytm_15, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_3 (Kamil Wysoki) winner: algorytm_10, end game reason: NORMAL
GameView between algorytm_10 (Adam Czajka) and algorytm_14 (Adam Czajka) winner: algorytm_10, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_2 (Anna Glowinska) winner: algorytm_2, end game reason: NORMAL
GameView between algorytm_10 (Adam Czajka) and algorytm_5 (Kot Maale) winner: algorytm_5, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_13 (Adam Czajka) winner: algorytm_10, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_16 (Adam Czajka) winner: algorytm_10, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_7 (Adam Czajka) winner: algorytm_10, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_11 (Adam Czajka) winner: algorytm_10, end game reason: TIME_EXCEEDED
GameView between algorytm_10 (Adam Czajka) and algorytm_6 (Kot Dama) winner: algorytm_6, end game reason: TIME_EXCEEDED
